,split,sup_loss_weight,alpha,u,accuracy
196,7,0.25,0.7,0.5,0.61
197,8,0.25,0.7,0.5,0.628
198,9,0.25,0.7,0.5,0.632
199,10,0.25,0.7,0.5,0.56
200,1,0.25,0.7,0.8,0.554
201,2,0.25,0.7,0.8,0.658
202,3,0.25,0.7,0.8,0.626
203,4,0.25,0.7,0.8,0.608
204,5,0.25,0.7,0.8,0.584
205,6,0.25,0.7,0.8,0.52
206,7,0.25,0.7,0.8,0.516
207,8,0.25,0.7,0.8,0.568
208,9,0.25,0.7,0.8,0.608
209,10,0.25,0.7,0.8,0.522
210,1,0.25,0.9,0.2,0.582
211,2,0.25,0.9,0.2,0.642
212,3,0.25,0.9,0.2,0.632
213,4,0.25,0.9,0.2,0.606
214,5,0.25,0.9,0.2,0.612
215,6,0.25,0.9,0.2,0.66
216,7,0.25,0.9,0.2,0.604
217,8,0.25,0.9,0.2,0.646
218,9,0.25,0.9,0.2,0.6
219,10,0.25,0.9,0.2,0.544
220,1,0.25,0.9,0.5,0.572
221,2,0.25,0.9,0.5,0.678
222,3,0.25,0.9,0.5,0.638
223,4,0.25,0.9,0.5,0.582
224,5,0.25,0.9,0.5,0.674
225,6,0.25,0.9,0.5,0.592
226,7,0.25,0.9,0.5,0.564
227,8,0.25,0.9,0.5,0.62
228,9,0.25,0.9,0.5,0.614
229,10,0.25,0.9,0.5,0.56
230,1,0.25,0.9,0.8,0.428
231,2,0.25,0.9,0.8,0.626
232,3,0.25,0.9,0.8,0.588
233,4,0.25,0.9,0.8,0.588
234,5,0.25,0.9,0.8,0.568
235,6,0.25,0.9,0.8,0.456
236,7,0.25,0.9,0.8,0.376
237,8,0.25,0.9,0.8,0.512
238,9,0.25,0.9,0.8,0.538
239,10,0.25,0.9,0.8,0.496
240,1,0.5,0.2,0.2,0.632
241,2,0.5,0.2,0.2,0.636
242,3,0.5,0.2,0.2,0.648
243,4,0.5,0.2,0.2,0.638
244,5,0.5,0.2,0.2,0.646
245,6,0.5,0.2,0.2,0.574
246,7,0.5,0.2,0.2,0.666
247,8,0.5,0.2,0.2,0.612
248,9,0.5,0.2,0.2,0.642
249,10,0.5,0.2,0.2,0.578
250,1,0.5,0.2,0.5,0.624
251,2,0.5,0.2,0.5,0.666
252,3,0.5,0.2,0.5,0.666
253,4,0.5,0.2,0.5,0.598
254,5,0.5,0.2,0.5,0.628
255,6,0.5,0.2,0.5,0.622
256,7,0.5,0.2,0.5,0.628
257,8,0.5,0.2,0.5,0.59
258,9,0.5,0.2,0.5,0.61
259,10,0.5,0.2,0.5,0.618
260,1,0.5,0.2,0.8,0.58
261,2,0.5,0.2,0.8,0.616
262,3,0.5,0.2,0.8,0.64
263,4,0.5,0.2,0.8,0.652
264,5,0.5,0.2,0.8,0.614
265,6,0.5,0.2,0.8,0.59
266,7,0.5,0.2,0.8,0.626
267,8,0.5,0.2,0.8,0.676
268,9,0.5,0.2,0.8,0.604
