,split,sup_loss_weight,alpha,u,accuracy
334,5,0.5,0.9,0.2,0.36779356524579454
335,6,0.5,0.9,0.2,0.36861015841907563
336,7,0.5,0.9,0.2,0.37465294790135556
337,8,0.5,0.9,0.2,0.3357831128531765
338,9,0.5,0.9,0.2,0.3802057814796668
339,10,0.5,0.9,0.2,0.3687734770537318
340,1,0.5,0.9,0.5,0.39980401763841256
341,2,0.5,0.9,0.5,0.36779356524579454
342,3,0.5,0.9,0.5,0.34917524089498614
343,4,0.5,0.9,0.5,0.3739996733627307
344,5,0.5,0.9,0.5,0.36779356524579454
345,6,0.5,0.9,0.5,0.3934345908868202
346,7,0.5,0.9,0.5,0.3674669279764821
347,8,0.5,0.9,0.5,0.3687734770537318
348,9,0.5,0.9,0.5,0.374979585170668
349,10,0.5,0.9,0.5,0.36779356524579454
350,1,0.5,0.9,0.8,0.40601012575534867
351,2,0.5,0.9,0.8,0.36910011432304424
352,3,0.5,0.9,0.8,0.370406663400294
353,4,0.5,0.9,0.8,0.36893679568838805
354,5,0.5,0.9,0.8,0.3937612281561326
355,6,0.5,0.9,0.8,0.3785725951331047
356,7,0.5,0.9,0.8,0.36763024661113836
357,8,0.5,0.9,0.8,0.3802057814796668
358,9,0.5,0.9,0.8,0.37710272742119877
359,10,0.5,0.9,0.8,0.36779356524579454
360,1,0.8,0.2,0.2,0.42054548423975174
361,2,0.8,0.2,0.2,0.4528825739016822
362,3,0.8,0.2,0.2,0.4852196635636126
363,4,0.8,0.2,0.2,0.3836354728074473
364,5,0.8,0.2,0.2,0.4439000489955904
365,6,0.8,0.2,0.2,0.437530622243998
366,7,0.8,0.2,0.2,0.49387555120039195
367,8,0.8,0.2,0.2,0.44243018128368444
368,9,0.8,0.2,0.2,0.36779356524579454
369,10,0.8,0.2,0.2,0.48897599216070553
370,1,0.8,0.2,0.5,0.49583537481626655
371,2,0.8,0.2,0.5,0.4897925853339866
372,3,0.8,0.2,0.5,0.49877511024007837
373,4,0.8,0.2,0.5,0.5044912624530459
374,5,0.8,0.2,0.5,0.37367303609341823
375,6,0.8,0.2,0.5,0.4951821002776417
376,7,0.8,0.2,0.5,0.3878817573085089
377,8,0.8,0.2,0.5,0.37465294790135556
378,9,0.8,0.2,0.5,0.4783602809080516
379,10,0.8,0.2,0.5,0.39049485546300833
380,1,0.8,0.2,0.8,0.4257716805487506
381,2,0.8,0.2,0.8,0.4700310305405847
382,3,0.8,0.2,0.8,0.42136207741303283
383,4,0.8,0.2,0.8,0.42299526375959495
384,5,0.8,0.2,0.8,0.4177690674505961
385,6,0.8,0.2,0.8,0.3741629919973869
386,7,0.8,0.2,0.8,0.44063367630246614
387,8,0.8,0.2,0.8,0.4532092111709946
388,9,0.8,0.2,0.8,0.46055854973052424
389,10,0.8,0.2,0.8,0.4190756165278458
390,1,0.8,0.5,0.2,0.3833088355381349
391,2,0.8,0.5,0.2,0.4293646905111873
392,3,0.8,0.5,0.2,0.3885350318471338
393,4,0.8,0.5,0.2,0.36779356524579454
394,5,0.8,0.5,0.2,0.3821656050955414
395,6,0.8,0.5,0.2,0.384125428711416
396,7,0.8,0.5,0.2,0.38167564919157276
397,8,0.8,0.5,0.2,0.3844520659807284
398,9,0.8,0.5,0.2,0.3798791442103544
399,10,0.8,0.5,0.2,0.37220316838151235
400,1,0.8,0.5,0.5,0.39065817409766457
401,2,0.8,0.5,0.5,0.4496162012085579
402,3,0.8,0.5,0.5,0.44765637759268334
403,4,0.8,0.5,0.5,0.4117262779683162
404,5,0.8,0.5,0.5,0.4280581414339376
405,6,0.8,0.5,0.5,0.38624857096194676
406,7,0.8,0.5,0.5,0.44553323534215256
407,8,0.8,0.5,0.5,0.38722848276988403
408,9,0.8,0.5,0.5,0.42740486689531276
409,10,0.8,0.5,0.5,0.41809570471990853
410,1,0.8,0.5,0.8,0.38869835048178997
411,2,0.8,0.5,0.8,0.41384942021884696
412,3,0.8,0.5,0.8,0.43116119549240567
413,4,0.8,0.5,0.8,0.41009309162175406
414,5,0.8,0.5,0.8,0.4061734443900049
415,6,0.8,0.5,0.8,0.3847787032500408
416,7,0.8,0.5,0.8,0.43491752408949863
417,8,0.8,0.5,0.8,0.42266862649028253
418,9,0.8,0.5,0.8,0.45141270618977625
419,10,0.8,0.5,0.8,0.4429201371876531
420,1,0.8,0.7,0.2,0.3673036093418259
421,2,0.8,0.7,0.2,0.4096031357177854
422,3,0.8,0.7,0.2,0.3828188796341663
423,4,0.8,0.7,0.2,0.3753062224399804
424,5,0.8,0.7,0.2,0.3692634329577005
425,6,0.8,0.7,0.2,0.38053241874897925
426,7,0.8,0.7,0.2,0.2678425608361914
427,8,0.8,0.7,0.2,0.3754695410746366
428,9,0.8,0.7,0.2,0.37791932059447986
429,10,0.8,0.7,0.2,0.3708966193042626
430,1,0.8,0.7,0.5,0.3939245467907888
431,2,0.8,0.7,0.5,0.37465294790135556
432,3,0.8,0.7,0.5,0.37922586967172955
433,4,0.8,0.7,0.5,0.37710272742119877
434,5,0.8,0.7,0.5,0.3766127715172301
435,6,0.8,0.7,0.5,0.38494202188469706
436,7,0.8,0.7,0.5,0.3707333006696064
437,8,0.8,0.7,0.5,0.37481626653601174
438,9,0.8,0.7,0.5,0.3811856932876041
439,10,0.8,0.7,0.5,0.3852686591540095
440,1,0.8,0.7,0.8,0.379552506941042
441,2,0.8,0.7,0.8,0.3730197615547934
442,3,0.8,0.7,0.8,0.40780663073656703
443,4,0.8,0.7,0.8,0.37563285970929283
444,5,0.8,0.7,0.8,0.36779356524579454
445,6,0.8,0.7,0.8,0.41009309162175406
446,7,0.8,0.7,0.8,0.384125428711416
447,8,0.8,0.7,0.8,0.36779356524579454
448,9,0.8,0.7,0.8,0.37922586967172955
449,10,0.8,0.7,0.8,0.41156295933366
450,1,0.8,0.9,0.2,0.3774293646905112
451,2,0.8,0.9,0.2,0.36779356524579454
452,3,0.8,0.9,0.2,0.27421198758778376
453,4,0.8,0.9,0.2,0.37889923240241713
454,5,0.8,0.9,0.2,0.349828515433611
455,6,0.8,0.9,0.2,0.3679568838804508
456,7,0.8,0.9,0.2,0.36861015841907563
457,8,0.8,0.9,0.2,0.371223256573575
458,9,0.8,0.9,0.2,0.37105993793891884
459,10,0.8,0.9,0.2,0.3720398497468561
