,split,sup_loss_weight,alpha,u,accuracy
234,5,0.25,0.9,0.8,0.716
235,6,0.25,0.9,0.8,0.758
236,7,0.25,0.9,0.8,0.8
237,8,0.25,0.9,0.8,0.404
238,9,0.25,0.9,0.8,0.634
239,10,0.25,0.9,0.8,0.726
240,1,0.5,0.2,0.2,0.37
241,2,0.5,0.2,0.2,0.736
242,3,0.5,0.2,0.2,0.806
243,4,0.5,0.2,0.2,0.576
244,5,0.5,0.2,0.2,0.756
245,6,0.5,0.2,0.2,0.738
246,7,0.5,0.2,0.2,0.724
247,8,0.5,0.2,0.2,0.72
248,9,0.5,0.2,0.2,0.402
249,10,0.5,0.2,0.2,0.474
250,1,0.5,0.2,0.5,0.432
251,2,0.5,0.2,0.5,0.748
252,3,0.5,0.2,0.5,0.802
253,4,0.5,0.2,0.5,0.39
254,5,0.5,0.2,0.5,0.728
255,6,0.5,0.2,0.5,0.758
256,7,0.5,0.2,0.5,0.46
257,8,0.5,0.2,0.5,0.686
258,9,0.5,0.2,0.5,0.724
259,10,0.5,0.2,0.5,0.764
260,1,0.5,0.2,0.8,0.728
261,2,0.5,0.2,0.8,0.774
262,3,0.5,0.2,0.8,0.812
263,4,0.5,0.2,0.8,0.78
264,5,0.5,0.2,0.8,0.71
265,6,0.5,0.2,0.8,0.762
266,7,0.5,0.2,0.8,0.782
267,8,0.5,0.2,0.8,0.746
268,9,0.5,0.2,0.8,0.802
269,10,0.5,0.2,0.8,0.538
270,1,0.5,0.5,0.2,0.77
271,2,0.5,0.5,0.2,0.492
272,3,0.5,0.5,0.2,0.8
273,4,0.5,0.5,0.2,0.778
274,5,0.5,0.5,0.2,0.698
275,6,0.5,0.5,0.2,0.742
276,7,0.5,0.5,0.2,0.796
277,8,0.5,0.5,0.2,0.458
278,9,0.5,0.5,0.2,0.8
279,10,0.5,0.5,0.2,0.796
280,1,0.5,0.5,0.5,0.408
281,2,0.5,0.5,0.5,0.724
282,3,0.5,0.5,0.5,0.786
283,4,0.5,0.5,0.5,0.776
284,5,0.5,0.5,0.5,0.768
285,6,0.5,0.5,0.5,0.578
286,7,0.5,0.5,0.5,0.776
287,8,0.5,0.5,0.5,0.698
288,9,0.5,0.5,0.5,0.524
289,10,0.5,0.5,0.5,0.774
290,1,0.5,0.5,0.8,0.388
291,2,0.5,0.5,0.8,0.762
292,3,0.5,0.5,0.8,0.804
293,4,0.5,0.5,0.8,0.468
294,5,0.5,0.5,0.8,0.712
295,6,0.5,0.5,0.8,0.486
296,7,0.5,0.5,0.8,0.428
297,8,0.5,0.5,0.8,0.724
298,9,0.5,0.5,0.8,0.704
299,10,0.5,0.5,0.8,0.78
300,1,0.5,0.7,0.2,0.706
301,2,0.5,0.7,0.2,0.716
302,3,0.5,0.7,0.2,0.782
303,4,0.5,0.7,0.2,0.388
304,5,0.5,0.7,0.2,0.714
305,6,0.5,0.7,0.2,0.74
306,7,0.5,0.7,0.2,0.784
307,8,0.5,0.7,0.2,0.706
308,9,0.5,0.7,0.2,0.456
309,10,0.5,0.7,0.2,0.37
310,1,0.5,0.7,0.5,0.76
311,2,0.5,0.7,0.5,0.758
312,3,0.5,0.7,0.5,0.628
313,4,0.5,0.7,0.5,0.79
314,5,0.5,0.7,0.5,0.782
315,6,0.5,0.7,0.5,0.74
316,7,0.5,0.7,0.5,0.796
317,8,0.5,0.7,0.5,0.722
318,9,0.5,0.7,0.5,0.762
319,10,0.5,0.7,0.5,0.614
320,1,0.5,0.7,0.8,0.756
321,2,0.5,0.7,0.8,0.716
322,3,0.5,0.7,0.8,0.378
323,4,0.5,0.7,0.8,0.772
324,5,0.5,0.7,0.8,0.664
325,6,0.5,0.7,0.8,0.742
326,7,0.5,0.7,0.8,0.782
327,8,0.5,0.7,0.8,0.702
328,9,0.5,0.7,0.8,0.64
329,10,0.5,0.7,0.8,0.75
330,1,0.5,0.9,0.2,0.462
