,split,sup_loss_weight,alpha,u,accuracy
435,6,0.8,0.7,0.5,0.76
436,7,0.8,0.7,0.5,0.8
437,8,0.8,0.7,0.5,0.774
438,9,0.8,0.7,0.5,0.822
439,10,0.8,0.7,0.5,0.786
440,1,0.8,0.7,0.8,0.726
441,2,0.8,0.7,0.8,0.776
442,3,0.8,0.7,0.8,0.79
443,4,0.8,0.7,0.8,0.8
444,5,0.8,0.7,0.8,0.758
445,6,0.8,0.7,0.8,0.682
446,7,0.8,0.7,0.8,0.738
447,8,0.8,0.7,0.8,0.73
448,9,0.8,0.7,0.8,0.8
449,10,0.8,0.7,0.8,0.764
450,1,0.8,0.9,0.2,0.774
451,2,0.8,0.9,0.2,0.792
452,3,0.8,0.9,0.2,0.814
453,4,0.8,0.9,0.2,0.802
454,5,0.8,0.9,0.2,0.776
455,6,0.8,0.9,0.2,0.76
456,7,0.8,0.9,0.2,0.752
457,8,0.8,0.9,0.2,0.748
458,9,0.8,0.9,0.2,0.824
459,10,0.8,0.9,0.2,0.782
460,1,0.8,0.9,0.5,0.784
461,2,0.8,0.9,0.5,0.804
462,3,0.8,0.9,0.5,0.788
463,4,0.8,0.9,0.5,0.776
464,5,0.8,0.9,0.5,0.764
465,6,0.8,0.9,0.5,0.734
466,7,0.8,0.9,0.5,0.776
467,8,0.8,0.9,0.5,0.738
468,9,0.8,0.9,0.5,0.83
469,10,0.8,0.9,0.5,0.77
470,1,0.8,0.9,0.8,0.738
471,2,0.8,0.9,0.8,0.77
472,3,0.8,0.9,0.8,0.78
473,4,0.8,0.9,0.8,0.792
474,5,0.8,0.9,0.8,0.704
475,6,0.8,0.9,0.8,0.742
476,7,0.8,0.9,0.8,0.754
477,8,0.8,0.9,0.8,0.734
478,9,0.8,0.9,0.8,0.78
479,10,0.8,0.9,0.8,0.748
